time,type,chap,detaT
2014-03-29 19:16:06,seq_next,chap1,4
2014-03-29 19:16:06,multi_event,chap1,4
2014-03-29 19:16:08,seq_prev,chap1,4
2014-03-29 21:47:49,seq_next,chap1,4
2014-03-29 21:47:49,multi_event,chap1,4
2014-03-29 21:54:04,seq_next,chap1,4
2014-03-29 21:54:04,multi_event,chap1,4
2014-03-29 22:07:27,seq_goto,chap1,4
2014-03-29 22:07:51,problem_check,chap1,4
2014-03-29 22:07:57,problem_check,chap1,4
2014-03-29 22:08:26,problem_check,chap1,4
2014-03-29 22:08:31,seq_prev,chap1,4
2014-03-29 22:08:31,multi_event,chap1,4
2014-03-29 22:08:35,seq_next,chap1,4
2014-03-29 22:08:39,multi_event,chap1,4
2014-03-29 22:08:39,page_close,chap1,4
2014-03-29 22:08:46,page_close,chap1,4
2014-03-29 22:09:03,page_close,chap1,4
2014-03-29 22:38:20,seq_goto,chap1,4
2014-03-29 22:38:20,multi_event,chap1,4
2014-03-29 22:38:22,seq_goto,chap1,4
2014-03-29 22:40:53,seq_goto,chap1,4
2014-03-29 22:40:53,multi_event,chap1,4
2014-03-29 22:44:31,seq_goto,chap1,4
2014-03-29 22:44:31,multi_event,chap1,4
2014-03-29 22:50:44,seq_goto,chap1,4
2014-03-29 22:50:44,multi_event,chap1,4
2014-03-29 22:55:34,seq_goto,chap1,4
2014-03-29 22:55:46,problem_check,chap1,4
2014-03-29 22:55:55,problem_check,chap1,4
2014-03-29 22:55:58,seq_next,chap1,4
2014-03-29 22:56:04,multi_event,chap1,4
2014-03-29 22:56:04,page_close,chap1,4
2014-03-29 22:56:09,page_close,chap1,4
2014-03-29 22:56:46,page_close,chap1,4
2014-03-30 16:27:26,page_close,chap1,5
2014-03-30 16:27:30,page_close,chap1,5
2014-03-30 16:27:34,page_close,chap1,5
2014-03-31 23:23:31,page_close,chap1,6
2014-04-01 12:56:53,page_close,chap1,7
2014-04-01 20:15:13,page_close,chap1,7
2014-04-01 20:28:42,seq_goto,chap2,0
2014-04-01 20:28:42,multi_event,chap2,0
2014-04-01 20:28:43,seq_goto,chap2,0
2014-04-01 20:39:47,seq_goto,chap2,0
2014-04-01 20:39:47,multi_event,chap2,0
2014-04-01 20:44:41,seq_goto,chap2,0
2014-04-01 20:44:41,multi_event,chap2,0
2014-04-01 20:44:42,seq_goto,chap2,0
2014-04-01 20:49:49,seq_goto,chap2,0
2014-04-01 20:49:49,multi_event,chap2,0
2014-04-01 20:56:00,seq_goto,chap2,0
2014-04-01 20:56:00,multi_event,chap2,0
2014-04-01 21:00:12,seq_goto,chap2,0
2014-04-01 21:00:12,multi_event,chap2,0
2014-04-01 21:04:15,seq_goto,chap2,0
2014-04-01 21:04:23,problem_check,chap2,0
2014-04-01 21:06:05,problem_check,chap2,0
2014-04-01 21:06:22,problem_check,chap2,0
2014-04-01 21:06:28,problem_check,chap2,0
2014-04-01 21:06:43,problem_check,chap2,0
2014-04-01 21:06:45,seq_next,chap2,0
2014-04-01 21:06:48,multi_event,chap2,0
2014-04-01 21:06:49,page_close,chap2,0
2014-04-01 21:09:49,seq_goto,chap2,0
2014-04-01 21:09:49,multi_event,chap2,0
2014-04-01 21:12:36,multi_event,chap2,0
2014-04-01 21:12:37,page_close,chap2,0
2014-04-01 21:12:39,seq_goto,chap2,0
2014-04-01 21:12:43,page_close,chap2,0
2014-04-17 23:30:25,page_close,chap3,13
2014-04-17 23:30:31,seq_goto,chap4,6
2014-04-17 23:30:35,multi_event,chap4,6
2014-04-17 23:30:36,page_close,chap4,6
2014-04-17 23:30:55,seq_next,chap4,6
2014-04-17 23:30:55,multi_event,chap4,6
2014-04-17 23:30:59,multi_event,chap4,6
2014-04-17 23:30:59,page_close,chap4,6
2014-04-19 21:42:22,page_close,chap4,8
2014-04-19 21:42:46,page_close,chap4,8
2014-04-19 21:45:07,seq_goto,chap4,8
2014-04-19 21:45:07,multi_event,chap4,8
2014-04-19 21:50:33,seq_goto,chap4,8
2014-04-19 21:50:34,multi_event,chap4,8
2014-04-19 21:56:54,seq_goto,chap4,8
2014-04-19 21:56:54,multi_event,chap4,8
2014-04-19 21:59:14,seq_goto,chap4,8
2014-04-19 21:59:22,problem_check,chap4,8
2014-04-19 21:59:28,problem_check,chap4,8
2014-04-19 21:59:32,problem_show,chap4,8
2014-04-19 21:59:35,multi_event,chap4,8
2014-04-19 21:59:35,page_close,chap4,8
2014-04-19 22:02:09,seq_goto,chap4,8
2014-04-19 22:02:09,multi_event,chap4,8
2014-04-19 22:02:14,seq_goto,chap4,8
2014-04-19 22:02:17,multi_event,chap4,8
2014-04-19 22:02:18,page_close,chap4,8
2014-04-19 22:02:23,seq_goto,chap4,8
2014-04-19 22:07:35,seq_goto,chap4,8
2014-04-19 22:07:35,multi_event,chap4,8
2014-04-19 22:10:42,seq_goto,chap4,8
2014-04-19 22:10:42,multi_event,chap4,8
2014-04-19 22:21:09,seq_goto,chap4,8
2014-04-19 22:21:09,multi_event,chap4,8
2014-04-19 22:31:18,seq_goto,chap4,8
2014-04-19 22:31:18,multi_event,chap4,8
2014-04-19 22:37:37,seq_goto,chap4,8
2014-04-19 22:37:37,multi_event,chap4,8
2014-04-19 22:41:11,seq_goto,chap4,8
2014-04-19 22:41:24,problem_check,chap4,8
2014-04-19 22:41:31,problem_check,chap4,8
2014-04-19 22:41:33,multi_event,chap4,8
2014-04-19 22:41:34,page_close,chap4,8
2014-04-19 22:46:13,seq_goto,chap4,8
2014-04-19 22:46:13,multi_event,chap4,8
2014-04-19 22:48:35,seq_goto,chap4,8
2014-04-19 22:48:36,multi_event,chap4,8
2014-04-19 22:51:15,seq_goto,chap4,8
2014-04-19 22:51:16,multi_event,chap4,8
2014-04-19 22:55:42,multi_event,chap4,8
2014-04-19 22:55:43,page_close,chap4,8
2014-04-19 22:55:51,multi_event,chap5,1
2014-04-19 22:55:51,page_close,chap5,1
2014-04-20 21:51:07,multi_event,chap5,2
2014-04-20 21:51:07,page_close,chap5,2
2014-04-29 22:51:44,page_close,chap5,11
2014-04-29 22:51:47,page_close,chap4,18
2014-04-29 22:51:53,page_close,chap4,18
2014-04-29 22:51:56,seq_goto,chap5,11
2014-04-29 22:51:58,seq_goto,chap5,11
2014-04-29 22:54:41,seq_goto,chap5,11
2014-04-29 22:54:42,video_event,chap5,11
2014-04-29 23:03:48,seq_goto,chap5,11
2014-04-29 23:03:48,video_event,chap5,11
2014-04-29 23:10:16,seq_goto,chap5,11
2014-04-29 23:10:16,video_event,chap5,11
2014-04-29 23:14:34,seq_goto,chap5,11
2014-04-29 23:14:34,video_event,chap5,11
2014-04-29 23:21:56,seq_goto,chap5,11
2014-04-29 23:21:56,video_event,chap5,11
2014-04-29 23:27:06,seq_goto,chap5,11
2014-04-29 23:27:24,problem_check,chap5,11
2014-04-29 23:27:26,problem_show,chap5,11
2014-04-29 23:27:38,problem_check,chap5,11
2014-04-29 23:27:54,problem_check,chap5,11
2014-04-29 23:27:56,problem_show,chap5,11
2014-04-29 23:28:03,seq_goto,chap5,11
2014-04-29 23:28:07,page_close,chap5,11
2014-04-29 23:28:07,video_event,chap5,11
2014-04-29 23:41:59,seq_goto,chap5,11
2014-04-29 23:41:59,video_event,chap5,11
2014-04-29 23:53:55,seq_goto,chap5,11
2014-04-29 23:53:55,video_event,chap5,11
2014-04-29 0:05:28,seq_goto,chap5,10
2014-04-29 0:05:29,video_event,chap5,10
2014-04-29 0:09:19,seq_goto,chap5,10
2014-04-29 0:09:31,problem_check,chap5,10
2014-04-29 0:09:34,problem_show,chap5,10
2014-04-29 0:09:41,page_close,chap5,10
2014-04-29 0:09:41,video_event,chap5,10
2014-04-29 0:09:46,seq_goto,chap5,10
2014-04-29 0:43:31,seq_goto,chap5,10
2014-04-29 0:43:31,video_event,chap5,10
2014-04-29 0:49:21,seq_goto,chap5,10
2014-04-29 0:49:21,video_event,chap5,10
2014-04-29 0:56:21,seq_goto,chap5,10
2014-04-29 0:56:47,problem_check,chap5,10
2014-04-29 0:56:48,problem_show,chap5,10
2014-04-29 0:56:53,page_close,chap5,10
2014-04-29 0:56:53,video_event,chap5,10
2014-05-01 18:56:36,page_close,chap5,13
2014-05-01 18:57:29,page_close,chap5,13
2014-05-01 19:06:56,page_close,chap5,13
2014-05-01 19:17:08,page_close,chap5,13
2014-05-01 19:22:46,seq_goto,chap6,6
2014-05-01 19:22:46,video_event,chap6,6
2014-05-01 19:28:30,seq_goto,chap6,6
2014-05-01 19:28:30,video_event,chap6,6
2014-05-01 19:51:48,seq_goto,chap6,6
2014-05-01 19:51:49,video_event,chap6,6
2014-05-01 20:06:06,page_close,chap6,6
2014-05-01 20:06:06,video_event,chap6,6
2014-05-01 0:04:58,page_close,chap6,5
2014-05-01 0:04:58,video_event,chap6,5
2014-05-02 23:38:40,page_close,chap6,7
2014-05-02 23:39:29,seq_goto,chap6,7
2014-05-02 23:39:29,video_event,chap6,7
2014-05-02 23:39:30,seq_goto,chap6,7
2014-05-02 23:55:25,seq_goto,chap6,7
2014-05-02 23:55:26,video_event,chap6,7
2014-05-02 23:55:27,seq_goto,chap6,7
2014-05-02 0:07:10,seq_goto,chap6,6
2014-05-02 0:07:10,video_event,chap6,6
2014-05-02 0:10:23,page_close,chap6,6
2014-05-02 0:10:23,video_event,chap6,6
2014-05-03 15:01:04,page_close,chap6,8
2014-05-03 15:01:17,page_close,chap7,0
2014-05-03 15:01:17,video_event,chap7,0
2014-05-03 15:29:12,seq_goto,chap7,0
2014-05-03 15:29:12,video_event,chap7,0
2014-05-03 15:33:34,seq_goto,chap7,0
2014-05-03 15:33:34,video_event,chap7,0
2014-05-03 15:39:33,seq_goto,chap7,0
2014-05-03 15:39:33,video_event,chap7,0
2014-05-03 16:32:03,seq_goto,chap7,0
2014-05-03 16:32:03,video_event,chap7,0
2014-05-03 16:40:22,page_close,chap7,0
2014-05-03 16:40:22,video_event,chap7,0
2014-05-03 17:10:24,seq_goto,chap7,0
2014-05-03 17:10:24,video_event,chap7,0
2014-05-03 17:15:20,seq_goto,chap7,0
2014-05-03 17:15:20,video_event,chap7,0
2014-05-03 17:20:03,seq_goto,chap7,0
2014-05-03 17:20:03,video_event,chap7,0
2014-05-03 17:33:01,seq_goto,chap7,0
2014-05-03 17:33:02,video_event,chap7,0
2014-05-03 17:36:27,page_close,chap7,0
2014-05-03 17:36:27,video_event,chap7,0
2014-05-13 13:09:06,page_close,chap7,10
2014-05-13 13:09:35,page_close,chap7,10
2014-05-13 13:09:44,page_close,chap7,10
2014-05-13 13:09:44,video_event,chap7,10
2014-05-13 13:09:47,seq_goto,chap7,10
2014-05-13 13:12:44,seq_goto,chap7,10
2014-05-13 13:12:44,video_event,chap7,10
2014-05-13 13:17:44,seq_goto,chap7,10
2014-05-13 13:17:45,video_event,chap7,10
2014-05-13 13:23:06,page_close,chap7,10
2014-05-13 13:23:06,video_event,chap7,10
2014-05-13 13:23:11,problem_check,chap7,10
2014-05-13 13:23:21,problem_save,chap7,10
2014-05-13 13:23:24,problem_check,chap7,10
2014-05-13 13:23:33,problem_check,chap7,10
2014-05-13 13:23:41,problem_check,chap7,10
2014-05-13 13:23:46,page_close,chap7,10
2014-05-13 13:23:51,seq_goto,chap8,3
2014-05-13 13:23:53,seq_goto,chap8,3
2014-05-13 13:24:01,problem_check,chap8,3
2014-05-13 13:24:07,problem_check,chap8,3
2014-05-13 13:24:24,problem_check,chap8,3
2014-05-13 13:24:30,seq_goto,chap8,3
2014-05-13 13:24:30,video_event,chap8,3
2014-05-13 13:35:05,page_close,chap8,4
2014-05-13 13:35:05,video_event,chap8,4
2014-05-13 13:41:53,page_close,chap8,4
2014-05-13 13:41:53,video_event,chap8,4
2014-05-19 21:52:02,page_close,chap8,10
2014-05-20 23:18:23,page_close,chap8,11
2014-05-20 23:22:19,seq_goto,chap8,11
2014-05-20 23:22:19,video_event,chap8,11
2014-05-20 23:27:16,seq_goto,chap8,11
2014-05-20 23:27:16,video_event,chap8,11
2014-05-20 23:46:15,page_close,chap8,11
2014-05-20 23:46:15,video_event,chap8,11
